BASIC_entity_name,BASIC_year,ASSETAB_GOODWILLQUALITY,ASSETAB_LONGRECEIVABLES,ASSETAB_PREPAIDQUALITY,ASSETAB_SOFTASSETS,ASSETAB_STOCK,CASHAB_DEPOSIT,CASHAB_LIMITEDCASH,CASHAB_OPERATINGCASH,COSTAB_ACCOUNTING,COSTAB_ACCRUALS,COSTAB_PERIODCOST,COSTAB_PREPAIDEXPENSES,COSTAB_PROFITGROWTH,COSTAB_SHOPPINGCASH,DEBTAB_DEBTSTRUCTURE,DEBTAB_FINANCINGSTRUCTURE,DILEMMAAB_FREECASHFLOW,DILEMMAAB_NEGAREVENUE,DILEMMAAB_OPCASH,FINANCINGAB_HIGHCASHDEBT,FINANCINGAB_HIGHINTEREST,FINANCINGAB_IDLEFUNDS,INVESTMENTAB_ASSETDISPOSAL,INVESTMENTAB_CONSTRUCTIONINVEST,INVESTMENTAB_INVESTSTRATEGY,REVENUEAB_CASHREVENUE,REVENUEAB_COSTREVENUE,REVENUEAB_REVENUEGROWTH,REVENUEAB_SELLINGEXPENSES,REVENUEAB_SELLONCREDITQUALITY,REVENUEAB_SELLONCREDITRATIO,REVENUEAB_TAXREVENUE,REVENUEAB_test,RINVESTAB_COMBINEDPROFIT,RINVESTAB_GOODWILLQUALITY,RINVESTAB_GROUP,RINVESTAB_SUBSIDIARYCASH,RPARTYAB_VARNISHOCCUPATION,RPARTYAB_VARNISHPROFIT,SURPLUSAB_ACCRUALS,SURPLUSAB_PROFITSTRUCTURE,SURPLUSAB_REVENUESTRUCTURE
三生国健药业(上海)股份有限公司,2021,0,0,0,0,0,0,0,2,2,2,2,0,2,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,2,2,0,0,0
三盛智慧教育科技股份有限公司,2016,2,0,0,2,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
三盛智慧教育科技股份有限公司,2018,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,1,2,2,0,0,1,0,1,0,2,0,1,1
三盛智慧教育科技股份有限公司,2020,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
三盛智慧教育科技股份有限公司,2021,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,2,2,0,2,0,0,0,0,2,0,0,1,0,0
三祥新材股份有限公司,2016,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
三祥新材股份有限公司,2017,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
三维通信股份有限公司,2016,0,0,0,0,0,0,0,1,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,1,0
三维通信股份有限公司,2017,1,0,0,1,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
三维通信股份有限公司,2018,2,0,2,0,0,0,0,1,2,2,2,2,2,0,1,0,0,0,0,0,0,2,0,0,1,2,0,1,2,2,0,2,0,1,1,0,1,0,0,2,2,0
三羊马(重庆)物流股份有限公司,2019,0,0,0,1,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0
三胞集团有限公司,2017,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
三胞集团有限公司,2019,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,2,2,1,0,0,2,2,0,0,0,2,2,0,0,1,0,1,0,1,0,0,0
三胞集团有限公司,2020,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,2,2,0,0,0
三诺生物传感股份有限公司,2016,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
三诺生物传感股份有限公司,2018,2,0,0,2,2,0,0,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
三诺生物传感股份有限公司,2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
三达膜环境技术股份有限公司,2018,0,0,2,2,2,1,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
